sector,cname,bse_code
Financial Services -  NBFC  -  Small / Medium,Ekam Leasing & Finance Company Limited,30581
Steel -  Steel  -  Others,Ekam Leasing & Finance Company Limited,513452
Chemicals -  Organic Chemicals,Elantas Beck India Limited,500123
Others -  Miscella  -  Others,Elbee Services Limited,26624
Financial Services -  Investment,Elbee Services Limited,503681
Financial Services -  NBFC  -  Small / Medium,Elcon Finlease & Industries Limited,11167
Const/Bldg Material -  Construction  -  Housing/Industrial,Eldeco Housing & Industries Limited,523329
Pharmaceuticals -  Formulations,Eldeco Housing & Industries Limited,524830
Pharmaceuticals -  Bulk Drugs and Formulations,Elder Projects Limited,524788
Engineering -  Heavy  -  General (CM),Elecon Engineering Company Limited,505700
Engineering -  Machine Tools,Electrex (India) Limited,17378
Engineering -  Machine Tools,Electrex (India) Limited,9358
Consumer Durables -  White Goods,Electrolux Kelvinator Limited,23461
Consumer Durables -  White Goods,Electrolux Kelvinator Limited,500128
Others -  Miscella  -  Others,Elegant Floriculture & Agrotech (I) Limited,526473
Mining -  Minerals,Elegant Floriculture & Agrotech (I) Limited,526705
Mining -  Minerals,Elegant Floriculture & Agrotech (I) Limited,24344
sector,cname,bse_code
Engineering -  Electrical Equipment,A B B Limited,500002
Engineering -  Electrical Equipment,A B B Limited,505665
Engineering -  Electrical Equipment,A B B Limited,520123
Plastic Processing -  Furniture/Thermoware & Home Products,A B C O Plastics Limited,26699
Plastic Processing -  Furniture/Thermoware & Home Products,A B C O Plastics Limited,520155
Plastic Processing -  Furniture/Thermoware & Home Products,A B C O Plastics Limited,532682
IT -  Software  -  Small/Medium,A B C O Plastics Limited,531161
IT -  Hardware,A B C O Plastics Limited,517356
Food Products -  Food & Dairy Products,A D F Foods Limited,519183
Food Products -  Food & Dairy Products,A D F Foods Limited,523031
Others,A E C (India) Limited,23080
Engineering -  Engineering Consultancy/Turnkey Services,A E C (India) Limited,532683
Non Ferrous Metals -  Aluminium,A J Brothers Limited,11662
Financial Services -  Investment,A K Capital Services Limited,530499
Steel -  Mild and Alloy Steel Products,A M L Steel Limited,NA
Textile -  Textiles  -  Others,A P M Industries Limited,523537
Textile -  Textiles  -  Others,A P M Industries Limited,590033
Textile -  Textiles  -  Others,A P M Industries Limited,509110
IT -  Software  -  Small/Medium,A S M Technologies Limited,526433
Diversified -  Small / Medium,A T N International Limited,511427
Engineering -  Engineering Consultancy/Turnkey Services,A T N International Limited,500028
Food Products -  Food & Dairy Products,A T N International Limited,31379
Food Products -  Solvent Extraction,A V I Industries Limited,19467
Food Products -  Solvent Extraction,A V I Industries Limited,26267
Food Products -  Solvent Extraction,A V I Industries Limited,519105
Textile -  Textiles  -  Others,Aafloat Textiles (India) Limited,14476
Engineering -  Light  -  General,Aafloat Textiles (India) Limited,22201
Others,Aafloat Textiles (India) Limited,23511
Pharmaceuticals -  Bulk Drugs,Aafloat Textiles (India) Limited,524412
Pharmaceuticals -  Bulk Drugs,Aafloat Textiles (India) Limited,524348
Chemicals -  Organic Chemicals,Aafloat Textiles (India) Limited,524208
Chemicals -  Organic Chemicals,Aafloat Textiles (India) Limited,514274
Others -  Miscella  -  Others,Aasda Life Care Limited,512219
IT -  Peripherals,Aasda Life Care Limited,19319
IT -  Peripherals,Aasda Life Care Limited,31514
Financial Services -  Investment,Aasda Life Care Limited,503673
IT -  Hardware,Aasda Life Care Limited,8987
IT -  Hardware,Aasda Life Care Limited,890090
Pharmaceuticals -  Formulations,Aasda Life Care Limited,500488
Non Ferrous Metals -  Copper,Aasda Life Care Limited,513119
Others -  Miscella  -  Others,Aasda Life Care Limited,30833
Others -  Miscella  -  Others,Aasda Life Care Limited,532057
Textile -  Spinning  -  Cotton (100% EOU),Aasda Life Care Limited,532831
Textile -  Spinning  -  Cotton/Blends,Aasda Life Care Limited,521064
Financial Services -  NBFC  -  Small / Medium,Abirami Financial Services (India) Limited,511756
Cement -  Cement,Abirami Financial Services (India) Limited,500410
IT -  IT Enabled Services,Accel Frontline Limited,532774
IT -  Hardware,Accel Transmatic Limited,517494
IT -  Hardware,Accel Transmatic Limited,531897
IT -  Hardware,Accel Transmatic Limited,31905
Others -  Miscella  -  Others,Ace India Limited,530093
